Third Party ID,First Name,Last Name,Category,RegistrationStatus,Barcode,Company,Country,Email,Job Title,Nr. of check-ins,organisationType,Company (Custom Field),Country (Custom Field),createdOnsite,First Name (Custom Field),Job Title (Custom Field),Last Name (Custom Field),nationality,State,tags,website,FielddriveID,Attended,Confirmed/No show
1of6dxq1l84cj,Luca,Cooper,Cybersecurity,Attended,vx3jerz5967w9,Okta,US,luca.cooper@okta.com,VP of Security,3,Cybersecurity,Okta,US,,Luca,VP of Security,Cooper,United States,,,www.okta.com,7095546,0,0
eowr8j0jmmyr7,Nancy,Tran,Enterprise Software,Attended,v7yh3y8a6m968,Zendesk,US,nancy.tran@zendesk.com,VP of Sales,1,Enterprise Software,Zendesk,US,,Nancy,VP of Sales,Tran,United States,,,www.zendesk.com,8058350,0,0
5to3e1e42t2g4,Hiroshi,Sato,Cloud & Infrastructure,Attended,v3154maphayib,Datadog,US,hiroshi.sato@datadoghq.com,VP of Engineering,3,Cloud & Infrastructure,Datadog,US,,Hiroshi,VP of Engineering,Sato,United States,,,www.datadoghq.com,7612061,0,0
8arjs89fljo6q,Deepak,Anderson,IT Consulting & SI,Attended,vvcz823rhu1rg,LTIMindtree,IN,deepak.anderson@ltimindtree.com,Senior Technology Consultant,3,IT Consulting & SI,LTIMindtree,IN,,Deepak,Senior Technology Consultant,Anderson,India,,,www.ltimindtree.com,8164029,0,0
aa60o4qaz32lw,Philippe,Kapoor,IT Consulting & SI,No show,vz6o98z2mf017,BCG X,US,philippe.kapoor@bcg.com,Data & AI Practice Lead,0,IT Consulting & SI,BCG X,US,,Philippe,Data & AI Practice Lead,Kapoor,United States,,,www.bcg.com,8939293,0,0
t6bjnzso5mgfe,Henrik,Bell,Enterprise Software,No show,v0b17my6xlejw,HubSpot,US,henrik.bell@hubspot.com,"Account Executive, Enterprise",0,Enterprise Software,HubSpot,US,,Henrik,"Account Executive, Enterprise",Bell,United States,,,www.hubspot.com,8633862,0,0
cj2tj20sarvqx,Ethan,Joshi,Cloud & Infrastructure,No show,vnjgyfjyycgwd,Google Cloud,US,ethan.joshi@cloud.google.com,DevOps Engineer,0,Cloud & Infrastructure,Google Cloud,US,,Ethan,DevOps Engineer,Joshi,United States,,,www.cloud.google.com,7768559,0,0
4psqnp1k8urmd,Juan,He,Dev Tools & Platforms,Attended,vh2eopveg4dnw,Twilio,US,juan.he@twilio.com,Solutions Engineer,2,Dev Tools & Platforms,Twilio,US,,Juan,Solutions Engineer,He,United States,,,www.twilio.com,7186699,0,0
tfmrmq9pkl48h,Brian,Stewart,Cloud & Infrastructure,Attended,vb1no6c6zh6du,Cloudflare,US,brian.stewart@cloudflare.com,Platform Engineer,4,Cloud & Infrastructure,Cloudflare,US,,Brian,Platform Engineer,Stewart,United States,,,www.cloudflare.com,8399152,0,0
j2eznj8u81nwy,Margaret,Hassan,IT Consulting & SI,Attended,vtau731qx4q7x,Infosys,IN,margaret.hassan@infosys.com,Technology Consultant,3,IT Consulting & SI,Infosys,IN,,Margaret,Technology Consultant,Hassan,India,,,www.infosys.com,7622177,0,0
ubpcq4adqtjqm,Naomi,Hassan,VC & Private Equity,No show,vuz16gbol0sws,Tiger Global,US,naomi.hassan@tigerglobal.com,Partner,0,VC & Private Equity,Tiger Global,US,,Naomi,Partner,Hassan,United States,,,www.tigerglobal.com,7922448,0,0
pspu69cmnjtul,Barbara,Goh,Cybersecurity,Attended,vr7z3uorwaobc,Palo Alto Networks,US,barbara.goh@paloaltonetworks.com,SOC Analyst,4,Cybersecurity,Palo Alto Networks,US,,Barbara,SOC Analyst,Goh,United States,,,www.paloaltonetworks.com,8197477,0,0
45alimxsehj0y,Matthew,Smith,Cloud & Infrastructure,Attended,v2atgxi9c70tr,Akamai Technologies,US,matthew.smith@akamai.com,Senior Site Reliability Engineer,2,Cloud & Infrastructure,Akamai Technologies,US,,Matthew,Senior Site Reliability Engineer,Smith,United States,,,www.akamai.com,8715358,0,0
9wggvyj2jzo76,Khairul,Das,Cybersecurity,Attended,v4ugebv3zjtcg,CrowdStrike,US,khairul.das@crowdstrike.com,Security Architect,3,Cybersecurity,CrowdStrike,US,,Khairul,Security Architect,Das,United States,,,www.crowdstrike.com,7338340,0,0
14pi30pgnh142,Elizabeth,Toh,IT Consulting & SI,Attended,v5ld9e93n27f9,Infosys,IN,elizabeth.toh@infosys.com,Technology Consultant,3,IT Consulting & SI,Infosys,IN,,Elizabeth,Technology Consultant,Toh,India,,,www.infosys.com,7570760,0,0
bye9swga1qgt6,Ryan,Mehta,Dev Tools & Platforms,Attended,v5la8hhn6qmuu,Stripe,US,ryan.mehta@stripe.com,Head of Developer Relations,3,Dev Tools & Platforms,Stripe,US,,Ryan,Head of Developer Relations,Mehta,United States,,,www.stripe.com,7031478,0,0
x97i98ufqau5s,Pablo,Clarke,AI & Data,Attended,vefmm3jt4lmag,Weaviate,NL,pablo.clarke@weaviate.io,Data Engineer,1,AI & Data,Weaviate,NL,,Pablo,Data Engineer,Clarke,Netherlands,,,www.weaviate.io,8817580,0,0
7gj9q22yc5ub6,Yasmin,Shah,Enterprise Software,Attended,vloap70rucprk,Sprinklr,US,yasmin.shah@sprinklr.com,"Account Executive, Enterprise",3,Enterprise Software,Sprinklr,US,,Yasmin,"Account Executive, Enterprise",Shah,United States,,,www.sprinklr.com,7186863,0,0
bfai6tp5ppnov,Laura,Rogers,VC & Private Equity,Attended,v3synh9bk0o4g,GGV Capital,US,laura.rogers@ggvc.com,General Partner,4,VC & Private Equity,GGV Capital,US,,Laura,General Partner,Rogers,United States,,,www.ggvc.com,8929787,0,0
cs4f7ni7rwwrj,Kunal,Song,VC & Private Equity,Attended,vq6qpnpn728zh,GGV Capital,US,kunal.song@ggvc.com,General Partner,2,VC & Private Equity,GGV Capital,US,,Kunal,General Partner,Song,United States,,,www.ggvc.com,8263958,0,0
jknxm8168p6z4,Fatimah,Fischer,Hardware & Semiconductors,No show,vk230q3qa7uq1,Marvell Technology,US,fatimah.fischer@marvell.com,System Architecture Engineer,0,Hardware & Semiconductors,Marvell Technology,US,,Fatimah,System Architecture Engineer,Fischer,United States,,,www.marvell.com,8540149,0,0
j2abl3dyh97di,Aoi,Nguyen,Cloud & Infrastructure,Attended,vyx02w1arvyxt,MongoDB,US,aoi.nguyen@mongodb.com,Platform Engineer,3,Cloud & Infrastructure,MongoDB,US,,Aoi,Platform Engineer,Nguyen,United States,,,www.mongodb.com,7234421,0,0
xr2vb4jmhvk8s,Ren,Weber,Hardware & Semiconductors,Attended,vsri5ilhr9za3,Intel,US,ren.weber@intel.com,"Research Scientist, Silicon",2,Hardware & Semiconductors,Intel,US,,Ren,"Research Scientist, Silicon",Weber,United States,,,www.intel.com,7247574,0,0
5am9xajcg2lml,Shu,Agarwal,IT Consulting & SI,No show,vlqoowhkvl3xg,Infosys,IN,shu.agarwal@infosys.com,Director of Technology,0,IT Consulting & SI,Infosys,IN,,Shu,Director of Technology,Agarwal,India,,,www.infosys.com,8593305,0,0
b23otzffzqc7x,Angela,Nakamura,IT Consulting & SI,Attended,vv9rhykxgxvv0,Wipro,IN,angela.nakamura@wipro.com,Senior Technology Consultant,3,IT Consulting & SI,Wipro,IN,,Angela,Senior Technology Consultant,Nakamura,India,,,www.wipro.com,8036021,0,0
limfk33h6z1tg,William,Gupta,VC & Private Equity,Attended,vh5hifecvi5ry,Tiger Global,US,william.gupta@tigerglobal.com,Venture Associate,3,VC & Private Equity,Tiger Global,US,,William,Venture Associate,Gupta,United States,,,www.tigerglobal.com,8285195,0,0
sgtno1z74zl9c,Barbara,Torres,Cybersecurity,Attended,v3pfq67m7no5w,Palo Alto Networks,US,barbara.torres@paloaltonetworks.com,SOC Analyst,3,Cybersecurity,Palo Alto Networks,US,,Barbara,SOC Analyst,Torres,United States,,,www.paloaltonetworks.com,8031837,0,0
6bkwh8e7bi3rh,Dorothy,Tang,AI & Data,Attended,vk74mbbdxotoo,DataRobot,US,dorothy.tang@datarobot.com,Applied Research Scientist,2,AI & Data,DataRobot,US,,Dorothy,Applied Research Scientist,Tang,United States,,,www.datarobot.com,7998399,0,0
55uqrfkxz8lc0,Sara,Tang,Cybersecurity,Attended,v07pud6w0h67w,Zscaler,US,sara.tang@zscaler.com,Head of Information Security,2,Cybersecurity,Zscaler,US,,Sara,Head of Information Security,Tang,United States,,,www.zscaler.com,7630079,0,0
rb98ds0yvzvas,Patrick,Jackson,Hardware & Semiconductors,Attended,vi754nput2utc,Graphcore,GB,patrick.jackson@graphcore.ai,Director of Engineering,2,Hardware & Semiconductors,Graphcore,GB,,Patrick,Director of Engineering,Jackson,United Kingdom,,,www.graphcore.ai,7567539,0,0
7clsvoptnnyvl,Min-Ji,Brown,Cybersecurity,Attended,vnzuqqn61fkbc,Okta,US,minji.brown@okta.com,CISO,3,Cybersecurity,Okta,US,,Min-Ji,CISO,Brown,United States,,,www.okta.com,7947968,0,0
rzf1u6vqs4huf,Walter,Sim,IT Consulting & SI,Attended,vn4vnboobck3e,Accenture,IE,walter.sim@accenture.com,"Solution Architect, Digital",1,IT Consulting & SI,Accenture,IE,,Walter,"Solution Architect, Digital",Sim,Ireland,,,www.accenture.com,7156090,0,0
cad4zn573vjt6,Kathleen,Torres,AI & Data,Attended,vtcjay1fzk9qy,Pinecone,US,kathleen.torres@pinecone.io,Applied Research Scientist,2,AI & Data,Pinecone,US,,Kathleen,Applied Research Scientist,Torres,United States,,,www.pinecone.io,8512370,0,0
tldkz27dqtroi,Aisha,Zheng,Dev Tools & Platforms,Attended,v91eaf3ihswix,Temporal,US,aisha.zheng@temporal.io,Developer Advocate,3,Dev Tools & Platforms,Temporal,US,,Aisha,Developer Advocate,Zheng,United States,,,www.temporal.io,7729627,0,0
pwe3960bmtxv4,Hassan,Phillips,Cybersecurity,Attended,vl9l7tu124t27,Okta,US,hassan.phillips@okta.com,CISO,2,Cybersecurity,Okta,US,,Hassan,CISO,Phillips,United States,,,www.okta.com,7789471,0,0
kjq879jmq48b8,Barbara,Ho,Dev Tools & Platforms,Attended,v90zm8jkx2y5l,Sentry,US,barbara.ho@sentry.io,Developer Advocate,3,Dev Tools & Platforms,Sentry,US,,Barbara,Developer Advocate,Ho,United States,,,www.sentry.io,7979195,0,0
z3bqfrb0nzutp,Camila,Turner,Cybersecurity,Attended,v4hy5i8neoge9,Zscaler,US,camila.turner@zscaler.com,Head of Information Security,3,Cybersecurity,Zscaler,US,,Camila,Head of Information Security,Turner,United States,,,www.zscaler.com,8707053,0,0
ussjhmotoy9qj,George,Anderson,AI & Data,Attended,vs7i58up6j3vm,NVIDIA,US,george.anderson@nvidia.com,Data Engineer,3,AI & Data,NVIDIA,US,,George,Data Engineer,Anderson,United States,,,www.nvidia.com,8393575,0,0
wxz17977yy5l5,Nurul,Fischer,IT Consulting & SI,Attended,v7szoqeallc7m,EY Technology,GB,nurul.fischer@ey.com,Senior Technology Consultant,3,IT Consulting & SI,EY Technology,GB,,Nurul,Senior Technology Consultant,Fischer,United Kingdom,,,www.ey.com,7459891,0,0
vqlq93bvmy7tw,Sofia,Xie,Cloud & Infrastructure,Attended,vy6h7tnvokeyn,DigitalOcean,US,sofia.xie@digitalocean.com,Platform Engineer,4,Cloud & Infrastructure,DigitalOcean,US,,Sofia,Platform Engineer,Xie,United States,,,www.digitalocean.com,7498077,0,0
ajxf9v5ldmkmk,Ella,Suzuki,IT Consulting & SI,Attended,v9u9mvcu6a49x,Accenture,IE,ella.suzuki@accenture.com,"Solution Architect, Digital",2,IT Consulting & SI,Accenture,IE,,Ella,"Solution Architect, Digital",Suzuki,Ireland,,,www.accenture.com,7791914,0,0
