Third Party ID,First Name,Last Name,Category,RegistrationStatus,Barcode,Company,Country,Email,Job Title,Nr. of check-ins,organisationType,Company (Custom Field),Country (Custom Field),createdOnsite,First Name (Custom Field),Job Title (Custom Field),Last Name (Custom Field),nationality,State,tags,website,FielddriveID,Attended,Confirmed/No show
fflzm764jwtek,Kento,Lee,Enterprise Software,Attended,vfflzm764jwtek,Intuit,US,kento.lee@intuit.com,Senior Solutions Engineer,1,Enterprise Software,Intuit,US,,Kento,Senior Solutions Engineer,Lee,United States,,,www.intuit.com,5000001,0,0
k8r2ykccprhvl,Ahmed,Agarwal,Enterprise Software,No show,vk8r2ykccprhvl,SAP,DE,ahmed.agarwal@sap.com,Chief Product Officer,0,Enterprise Software,SAP,DE,,Ahmed,Chief Product Officer,Agarwal,Germany,,,www.sap.com,5000002,0,0
049enulqjidkn,Ingrid,Zhu,Cloud & Infrastructure,Attended,v049enulqjidkn,Akamai Technologies,US,ingrid.zhu@akamai.com,Developer Advocate,1,Cloud & Infrastructure,Akamai Technologies,US,,Ingrid,Developer Advocate,Zhu,United States,,,www.akamai.com,5000003,0,0
4p501nouhtcs1,Gregory,Adeyemi,Enterprise Software,No show,v4p501nouhtcs1,Workday,US,gregory.adeyemi@workday.com,Engineering Manager,0,Enterprise Software,Workday,US,,Gregory,Engineering Manager,Adeyemi,United States,,,www.workday.com,5000004,0,0
9ye9o2m71hssb,Carol,Moreau,Enterprise Software,No show,v9ye9o2m71hssb,Sprinklr,US,carol.moreau@sprinklr.com,Principal Product Manager,0,Enterprise Software,Sprinklr,US,,Carol,Principal Product Manager,Moreau,United States,,,www.sprinklr.com,5000005,0,0
lrqvslwf90km3,Kento,Clarke,VIP,No show,vlrqvslwf90km3,Microsoft,US,kento.clarke@microsoft.com,Chief Executive Officer,0,VIP,Microsoft,US,,Kento,Chief Executive Officer,Clarke,United States,,VIP,www.microsoft.com,5000006,0,0
zk3ny9v20yar8,Noah,Torres,Dev Tools & Platforms,Attended,vzk3ny9v20yar8,Retool,US,noah.torres@retool.com,Senior Developer Advocate,1,Dev Tools & Platforms,Retool,US,,Noah,Senior Developer Advocate,Torres,United States,,,www.retool.com,5000007,0,0
u9rn8qtty5y2j,Naomi,Stewart,Enterprise Software,Attended,vu9rn8qtty5y2j,Microsoft,US,naomi.stewart@microsoft.com,Chief Technology Officer,1,Enterprise Software,Microsoft,US,,Naomi,Chief Technology Officer,Stewart,United States,,,www.microsoft.com,5000008,0,0
6om1fb8c7x0h3,Frank,Jeong,AI & Data,Attended,v6om1fb8c7x0h3,Weaviate,NL,frank.jeong@weaviate.io,AI/ML Platform Lead,1,AI & Data,Weaviate,NL,,Frank,AI/ML Platform Lead,Jeong,Netherlands,,,www.weaviate.io,5000009,0,0
6dut076g5g79o,Ren,Edwards,Cloud & Infrastructure,Attended,v6dut076g5g79o,Snowflake,US,ren.edwards@snowflake.com,Developer Advocate,1,Cloud & Infrastructure,Snowflake,US,,Ren,Developer Advocate,Edwards,United States,,,www.snowflake.com,5000010,0,0
sj3l0xzamkygv,Hans,Wu,Hardware & Semiconductors,Attended,vsj3l0xzamkygv,SambaNova Systems,US,hans.wu@sambanova.ai,Senior Chip Design Engineer,1,Hardware & Semiconductors,SambaNova Systems,US,,Hans,Senior Chip Design Engineer,Wu,United States,,,www.sambanova.ai,5000011,0,0
le6kwhef0votq,Soo-Jin,Nielsen,IT Consulting & SI,No show,vle6kwhef0votq,IBM Consulting,US,soojin.nielsen@ibm.com,Agile Delivery Lead,0,IT Consulting & SI,IBM Consulting,US,,Soo-Jin,Agile Delivery Lead,Nielsen,United States,,,www.ibm.com,5000012,0,0
xhi15cqzcucts,Nurul,Kobayashi,Enterprise Software,No show,vxhi15cqzcucts,Zendesk,US,nurul.kobayashi@zendesk.com,Chief Technology Officer,0,Enterprise Software,Zendesk,US,,Nurul,Chief Technology Officer,Kobayashi,United States,,,www.zendesk.com,5000013,0,0
flsehuds3qsqc,Yuki,Mueller,Hardware & Semiconductors,Attended,vflsehuds3qsqc,Qualcomm,US,yuki.mueller@qualcomm.com,Senior Chip Design Engineer,1,Hardware & Semiconductors,Qualcomm,US,,Yuki,Senior Chip Design Engineer,Mueller,United States,,,www.qualcomm.com,5000014,0,0
6nyxtxmgtt0ia,Jennifer,Mishra,Enterprise Software,Attended,v6nyxtxmgtt0ia,SAP,DE,jennifer.mishra@sap.com,Principal Product Manager,1,Enterprise Software,SAP,DE,,Jennifer,Principal Product Manager,Mishra,Germany,,,www.sap.com,5000015,0,0
pt11f9i6uu13i,Richard,Rahman,IT Consulting & SI,Attended,vpt11f9i6uu13i,Cognizant,US,richard.rahman@cognizant.com,Senior Technology Consultant,1,IT Consulting & SI,Cognizant,US,,Richard,Senior Technology Consultant,Rahman,United States,,,www.cognizant.com,5000016,0,0
qcootnjlcqnt3,Helen,Patel,Enterprise Software,Attended,vqcootnjlcqnt3,Oracle,US,helen.patel@oracle.com,Solutions Architect,1,Enterprise Software,Oracle,US,,Helen,Solutions Architect,Patel,United States,,,www.oracle.com,5000017,0,0
kqxlm5q201lhl,Maria,Cho,Hardware & Semiconductors,Attended,vkqxlm5q201lhl,Qualcomm,US,maria.cho@qualcomm.com,System Architecture Engineer,1,Hardware & Semiconductors,Qualcomm,US,,Maria,System Architecture Engineer,Cho,United States,,,www.qualcomm.com,5000018,0,0
698s4c3baewcf,Cynthia,Evans,IT Consulting & SI,Attended,v698s4c3baewcf,Publicis Sapient,FR,cynthia.evans@publicissapient.com,"Solution Architect, Digital",1,IT Consulting & SI,Publicis Sapient,FR,,Cynthia,"Solution Architect, Digital",Evans,France,,,www.publicissapient.com,5000019,0,0
m2c8qizk3c9xb,Ping,Zhang,Enterprise Software,Attended,vm2c8qizk3c9xb,HubSpot,US,ping.zhang@hubspot.com,Solutions Architect,1,Enterprise Software,HubSpot,US,,Ping,Solutions Architect,Zhang,United States,,,www.hubspot.com,5000020,0,0
g4ahf337kuu4y,Min-Ji,Trivedi,IT Consulting & SI,No show,vg4ahf337kuu4y,LTIMindtree,IN,minji.trivedi@ltimindtree.com,Associate Director,0,IT Consulting & SI,LTIMindtree,IN,,Min-Ji,Associate Director,Trivedi,India,,,www.ltimindtree.com,5000021,0,0
n02yc0mdicvwv,Liam,Bhatt,Cybersecurity,Attended,vn02yc0mdicvwv,CrowdStrike,US,liam.bhatt@crowdstrike.com,Senior Security Engineer,1,Cybersecurity,CrowdStrike,US,,Liam,Senior Security Engineer,Bhatt,United States,,,www.crowdstrike.com,5000022,0,0
dalmjegqtoamd,Fatimah,Tran,Dev Tools & Platforms,Attended,vdalmjegqtoamd,MuleSoft,US,fatimah.tran@mulesoft.com,Head of Developer Relations,1,Dev Tools & Platforms,MuleSoft,US,,Fatimah,Head of Developer Relations,Tran,United States,,,www.mulesoft.com,5000023,0,0
hdk8lw2lm349e,Sanjay,Chua,IT Consulting & SI,No show,vhdk8lw2lm349e,LTIMindtree,IN,sanjay.chua@ltimindtree.com,Managing Consultant,0,IT Consulting & SI,LTIMindtree,IN,,Sanjay,Managing Consultant,Chua,India,,,www.ltimindtree.com,5000024,0,0
8hl88kzruin3o,Nancy,Cho,IT Consulting & SI,Attended,v8hl88kzruin3o,Infosys,IN,nancy.cho@infosys.com,"Solution Architect, Digital",1,IT Consulting & SI,Infosys,IN,,Nancy,"Solution Architect, Digital",Cho,India,,,www.infosys.com,5000025,0,0
jfpnqvut75pb8,Ana,Pedersen,VC & Private Equity,No show,vjfpnqvut75pb8,Sequoia Capital,US,ana.pedersen@sequoiacap.com,Venture Associate,0,VC & Private Equity,Sequoia Capital,US,,Ana,Venture Associate,Pedersen,United States,,,www.sequoiacap.com,5000026,0,0
twd1xmxb9yo18,Feng,Young,Enterprise Software,Attended,vtwd1xmxb9yo18,Sprinklr,US,feng.young@sprinklr.com,Principal Product Manager,1,Enterprise Software,Sprinklr,US,,Feng,Principal Product Manager,Young,United States,,,www.sprinklr.com,5000027,0,0
