Timestamp,Attendee Third Party ID,First Name,Last Name,Category,Email,Company,Job Title,Country,Action,Location,Scan mode,Device Name,Operator,OperatorId,Device ID,Identification Mode,Software version,Session Third Party Id,Session Name,Remark Id
28-Apr-2026 08:00:11,eyw1tcfi4plmv,Walter,Hughes,Dev Tools & Platforms,walter.hughes@gitlab.com,GitLab,Staff Software Engineer,US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:11,eyw1tcfi4plmv,Walter,Hughes,Dev Tools & Platforms,walter.hughes@gitlab.com,GitLab,Staff Software Engineer,US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:15,eljqik8ic6jte,Kunal,Chatterjee,Enterprise Software,kunal.chatterjee@sap.com,SAP,VP of Engineering,DE,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:15,eljqik8ic6jte,Kunal,Chatterjee,Enterprise Software,kunal.chatterjee@sap.com,SAP,VP of Engineering,DE,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:23,dtzj2l72v08kt,Ren,Anderson,Dev Tools & Platforms,ren.anderson@konghq.com,Kong,Solutions Engineer,US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:23,dtzj2l72v08kt,Ren,Anderson,Dev Tools & Platforms,ren.anderson@konghq.com,Kong,Solutions Engineer,US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:32,smv30qabxw2eo,Henrik,Reddy,AI & Data,henrik.reddy@scale.com,Scale AI,ML Solutions Architect,US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:32,smv30qabxw2eo,Henrik,Reddy,AI & Data,henrik.reddy@scale.com,Scale AI,ML Solutions Architect,US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:48,zchhxa7hy7ai3,Tendai,Trivedi,Hardware & Semiconductors,tendai.trivedi@tsmc.com,TSMC,Senior Chip Design Engineer,TW,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:00:48,zchhxa7hy7ai3,Tendai,Trivedi,Hardware & Semiconductors,tendai.trivedi@tsmc.com,TSMC,Senior Chip Design Engineer,TW,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:03:39,d5n3ksgnbhds2,Yuto,Mitchell,Cybersecurity,yuto.mitchell@crowdstrike.com,CrowdStrike,Security Consultant,US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:03:39,d5n3ksgnbhds2,Yuto,Mitchell,Cybersecurity,yuto.mitchell@crowdstrike.com,CrowdStrike,Security Consultant,US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:06:27,phmzoim2caml5,Rania,Nkosi,Hardware & Semiconductors,rania.nkosi@sambanova.ai,SambaNova Systems,"Research Scientist, Silicon",US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:06:27,phmzoim2caml5,Rania,Nkosi,Hardware & Semiconductors,rania.nkosi@sambanova.ai,SambaNova Systems,"Research Scientist, Silicon",US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:07:06,jh4oulyo3pjbr,Patrick,Srivastava,Enterprise Software,patrick.srivastava@atlassian.com,Atlassian,Director of Engineering,AU,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:07:06,jh4oulyo3pjbr,Patrick,Srivastava,Enterprise Software,patrick.srivastava@atlassian.com,Atlassian,Director of Engineering,AU,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:09:39,h8l6e7vaaguzr,Jun,Kobayashi,Enterprise Software,jun.kobayashi@sap.com,SAP,Staff Software Engineer,DE,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:09:39,h8l6e7vaaguzr,Jun,Kobayashi,Enterprise Software,jun.kobayashi@sap.com,SAP,Staff Software Engineer,DE,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:09:41,rxttqu6l2ink4,Michelle,Das,IT Consulting & SI,michelle.das@nttdata.com,NTT Data,Managing Consultant,JP,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:09:41,rxttqu6l2ink4,Michelle,Das,IT Consulting & SI,michelle.das@nttdata.com,NTT Data,Managing Consultant,JP,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:10:25,cg8d2tn20vz9l,Sofia,Wright,AI & Data,sofia.wright@palantir.com,Palantir Technologies,Senior Data Scientist,US,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:10:25,cg8d2tn20vz9l,Sofia,Wright,AI & Data,sofia.wright@palantir.com,Palantir Technologies,Senior Data Scientist,US,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:12:01,cn3on4fg0djq1,Mei,Wang,Cybersecurity,mei.wang@cyberark.com,CyberArk,Senior Security Engineer,IL,Check-In,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
28-Apr-2026 08:12:01,cn3on4fg0djq1,Mei,Wang,Cybersecurity,mei.wang@cyberark.com,CyberArk,Senior Security Engineer,IL,Print,"Main Entrance, Level 1",Check History,iPad-Registration-01,registration@techforwardsummit.com,,,QR Scan,4.12.3,EntranceD1,Day 1 Registration & Entry,
